order_id,company_id,company_name,customer_id,customer_name,ETA,LFD,carrier_id,carrier_name,pick_up_id,pick_up_address,deliver_id,deliver_address,status_id,status_name,weight,billing_date
SM84947,15,NU DESIGNS LLC,15,NU FFE,03/30,2023-04-02,13,Golden Eagle Spotting Co.,18,UNION PACIFIC ST.LOUIS,15,"quality inn. 3404 main st, keokuk, ia 52632",2,ALL FINISHED,40'HQ,2023-04-01
SM85032,16,GSIT,16,GSIT,03/30,2023-04-11,14,HALE INTERMODAL,19,CSX - Stackbridge Worcester,16,"consolidated electrical distributors, inc. 322 leroy rd, williston, vt 05495",2,ALL FINISHED,20'GP,2023-04-01
SM85073,17,JTGL,17,JTGL,03/30,2023-04-05,15,UTC2,9,MAHER,17,"giga cloud nj4. 311 cranbury half acre rd, cranbury, nj 08512",2,ALL FINISHED,40'HQ,2023-04-01
SM85237,18,SUNTON,18,EDAY,03/30,2023-04-01,16,COMBAT,20, NORFOLK SOUTHERN AUSTELL RAMP,18,"305 best friend court, suite 305, norcross, ga 30071 usa",2,ALL FINISHED,40HQ,2023-04-01
SM85456,19,KING SUPPLY,19,KING SUPPLY,03/30,2023-04-06,17,DV,21,TAMPA,19,"16640 bachmann ave. unit #4, hudson, fl 34667",2,ALL FINISHED,40HQ/9146KGS,2023-04-01
SM85471,20,BLUEW,20,BLUEW,03/30,2023-04-12,7,AMG,22," OAKLAND, CA (US)",20,rambo devan,2,ALL FINISHED,40HQ,2023-04-01
SM85694,21,GZJF,21,GZJF,03/30,2023-04-08,18,ONEW,23,"Long Beach Container Terminal , LLC",21,315 warehouse devan,2,ALL FINISHED,40',2023-05-01
SM85825,10,YOOU INTERNATIONAL INC,10,SZOT,03/30,2023-04-06,15,UTC2,24,GCT,22,107 elbow ln burlington nj 08016,2,ALL FINISHED,40HQ,2023-04-01
SM85827,10,YOOU INTERNATIONAL INC,10,SZOT,03/30,2023-04-06,15,UTC2,24,GCT,22,107 elbow ln burlington nj 08016,2,ALL FINISHED,40HQ,2023-04-01
SM85828,10,YOOU INTERNATIONAL INC,10,SZOT,03/30,2023-04-06,15,UTC2,24,GCT,22,107 elbow ln burlington nj 08016,2,ALL FINISHED,40HQ,2023-04-01
SM85829,10,YOOU INTERNATIONAL INC,10,SZOT,03/30,2023-04-06,15,UTC2,24,GCT,23,"107 elbow lane, burlington, nj 08016",2,ALL FINISHED,40HQ,2023-04-01
SM85867,18,SUNTON,18,EDAY,03/30,2023-04-06,9,CEI,25, APM TERMINALS,24,"10395 nobel court, jurupa valley, california, 91752",2,ALL FINISHED,40HQ,2023-04-01
SM85937,18,SUNTON,18,EDAY,03/30,2023-04-14,19,BH,25, APM TERMINALS,25,"1375 w casmalia st, rialto, california, 92377",2,ALL FINISHED,40HQ,2023-04-01
SM85938,18,SUNTON,18,EDAY,03/30,2023-04-06,19,BH,25, APM TERMINALS,25,"1375 w casmalia st, rialto, california, 92377",2,ALL FINISHED,40HQ,2023-04-01
SM86032,4,ZCGC,4,ZCGC,03/30,2023-04-01,4,BOS,26,CHICAGO BNSF,4,"evonik corporation. 2010 lilly road, lafayette, in 47909",2,ALL FINISHED,20'GP,2023-04-01
SM86077,12,AUTOMANN,12,AUTOMANN,03/30,2023-04-04,20,SLC,27,"DALLAS, TX  UP RAIL - DALLAS (DIT)",26,"automann
1250 duncanville rd
duncanville tx 75116",2,ALL FINISHED,40HQ,2023-04-01
SM86196,22,YHJ TRADING COMPANY INC,22,MANDY,03/30,-,21, ,28,Honolulu airport,27,"4561 salt lake blvd

honolulu, hi  96818",2,ALL FINISHED,,2023-04-01
SM84665,12,AUTOMANN,12,AUTOMANN,03/29,-,1,,29,NJ PORT,11,,2,ALL FINISHED,,2023-03-29
SM85070,17,JTGL,17,JTGL,03/29,2023-04-05,15,UTC2,9,MAHER,28,"1665 jersey ave, north brunswick, nj 08902",2,ALL FINISHED,40'HQ,2023-04-01
SM85212,23,GII,23,SZWO,03/29,,22,EVANS DELIVERY,26,CHICAGO BNSF,29,"formica corporation mt. comfort
6579 west 350 north, suite b, building 103,greenfield, indiana 46140
contact name: josh kirby",2,ALL FINISHED,40,2023-03-29
SM85239,18,SUNTON,18,EDAY,03/29,2023-04-02,16,COMBAT,20, NORFOLK SOUTHERN AUSTELL RAMP,18,"305 best friend court, suite 305, norcross, ga 30071 usa",2,ALL FINISHED,40HQ,2023-04-01
SM85369,24,PGS CBEL,24,PGS CBEL,03/29,2023-04-05,10,BSUI,9,MAHER,30,"800 old country rd, westbury, ny 11590",2,ALL FINISHED,40'HQ,2023-04-01
SM85475,24,PGS CBEL,24,PGS CBEL,03/29,2023-04-04,9,CEI,30,FENIX MARINE,31,"giga cloud ca5. 1670 etiwanda ave, #b, ontario, ca 91761",2,ALL FINISHED,40'HQ,2023-04-01
SM85581,18,SUNTON,18,EDAY,03/29,2023-04-05,9,CEI,31,LBCT ,24,"10395 nobel court, jurupa valley, california, 91752",2,ALL FINISHED,40HQ,2023-04-01
SM85582,18,SUNTON,18,EDAY,03/29,2023-04-05,9,CEI,31,LBCT ,24,"10395 nobel court, jurupa valley, california, 91752",2,ALL FINISHED,40HQ,2023-04-01
SM85583,18,SUNTON,18,EDAY,03/29,2023-04-05,9,CEI,31,LBCT ,24,"10395 nobel court, jurupa valley, california, 91752",2,ALL FINISHED,40HQ,2023-04-01
SM85656,25,XR,25,XR,03/29,2023-04-13,9,CEI,32,ITS,32,"4501 etiwanda ave?mira loma, ca 91752, usa
flykingwarehouse inc",2,ALL FINISHED,40HQ HAZMAT,2023-04-01
SM85661,26,TRWORLD,5,TRWORLD,03/29,2023-04-04,23,EVANS,33,COLUMBUS-BNSF,33,"sincere pet
1101 river road
chillicothe, oh 45601
gavin anderson
tel :740-656-0265",2,ALL FINISHED,40HQ/15035.37LBS,2023-04-01
SM85729,11,TOP,11,SPEEDSHIP,03/29,2023-04-05,1,,1,Unknown,11,,1,ALL FINISHED/CASE DONE,,2023-04-01
SM85736,2,NBJF,2,NBJF,03/29,2023-04-06,9,CEI,10,APM,34,"3550 east francis street, unit 200    ontario ca 91761",2,ALL FINISHED,40HQ/16065KGS,2023-04-01
SM85742,6,K-KJING,6,K-KJING,03/29,2023-04-06,24,DRAGON,34,LBCT,35,lax9,2,ALL FINISHED,40HQ,2023-04-01
SM85806,18,SUNTON,18,EDAY,03/29,2023-04-05,9,CEI,35,American President Line,36,"1160 w rincon st, corona, california, 92880",2,ALL FINISHED,40HQ,2023-04-01
SM85807,18,SUNTON,18,EDAY,03/29,2023-04-04,9,CEI,35,American President Line,37,"1251 s rockefeller ave unit b ontario , ca 91761 usa",2,ALL FINISHED,40HQ,2023-04-01
SM85824,27,SENMART,5,TRWORLD,03/29,2023-04-06,9,CEI,34,LBCT,38,uswc,2,ALL FINISHED,40HQ/19899KGS,2023-04-01
SM85842,28,SZOT,10,SZOT,03/29,2023-04-06,9,CEI,36,TRAPAC,39,10905 beech ave fontana ca 92337,2,ALL FINISHED,40HQ/13485KGS,2023-04-01
SM85846,28,SZOT,10,SZOT,03/29,2023-04-06,9,CEI,36,TRAPAC,40,"1589 e nine st, pomona, ca 91766",2,ALL FINISHED,40HQ/13500KGS,2023-04-01
SM86071,29,ZHV,26,ZHV,03/29,,9,CEI,34,LBCT,41,"armstrong logistic, inc.  20301 e walnut dr n, walnut, ca 91789",2,ALL FINISHED,40,2023-04-01
SM86102,28,SZOT,10,SZOT,03/29,2023-04-06,19,BH,36,TRAPAC,39,10905 beech ave fontana ca 92337,2,ALL FINISHED,40HQ/9588KGS,2023-04-01
SM86259,21,GZJF,21,GZJF,03/29,-,25,TEA,37,"5758 W. Century Blvd., Los Angeles, CA, 90045 ",42,15700 s main street gardena  california ca 90248,1,ALL FINISHED/CASE DONE,220PCS/2117KGS,2023-04-01
SM84854,30,DTAX,27,DTAX,03/28,2023-03-31,1,,1,Unknown,11,,1,ALL FINISHED/CASE DONE,,2023-03-28
SM84861,31,BUYDEX,28,GOODCANGG,03/28,-,1,,1,Unknown,11,,2,ALL FINISHED,,2023-04-01
SM84902,32,SHANGHAI YINTA,1,HONGKONG YINTATECH ,03/28,2023-04-05,26,LFT,38,GARDEN CITY TERMINAL  ,43,"4099 old dixie hwy, bldg 3, ste 300, atlanta, ga 30354",2,ALL FINISHED,40HQ,2023-04-01
SM84932,32,SHANGHAI YINTA,1,HONGKONG YINTATECH ,03/28,2023-04-05,26,LFT,38,GARDEN CITY TERMINAL  ,43,"4099 old dixie hwy, bldg 3, ste 300, atlanta, ga 30354",2,ALL FINISHED,40HQ,2023-04-01
SM84933,32,SHANGHAI YINTA,1,HONGKONG YINTATECH ,03/28,2023-04-04,26,LFT,38,GARDEN CITY TERMINAL  ,43,"4099 old dixie hwy, bldg 3, ste 300, atlanta, ga 30354",2,ALL FINISHED,40HQ,2023-04-01
SM84934,32,SHANGHAI YINTA,1,HONGKONG YINTATECH ,03/28,2023-04-05,26,LFT,38,GARDEN CITY TERMINAL  ,43,"4099 old dixie hwy, bldg 3, ste 300, atlanta, ga 30354",2,ALL FINISHED,40HQ,2023-04-01
SM84935,32,SHANGHAI YINTA,1,HONGKONG YINTATECH ,03/28,2023-04-05,26,LFT,38,GARDEN CITY TERMINAL  ,43,"4099 old dixie hwy, bldg 3, ste 300, atlanta, ga 30354",2,ALL FINISHED,40HQ,2023-04-01
SM85256,33,LEDONE,29,LEDONE,03/28,2023-04-05,9,CEI,34,LBCT,44,led one corporation 12437 bellegrave ave eastvale ca 91752,1,ALL FINISHED/CASE DONE,40,2023-04-01
SM85285,31,BUYDEX,28,GOODCANGG,03/28,-,1,,1,Unknown,11,,2,ALL FINISHED,,2023-03-28
SM85331,34,FUZHOU EPS,20,BLUEW,03/28,2023-04-04,8,FLTI,39,"New York-Maher Terminal, Berth 64",45,"1050 amboy avenue, perth amboy, new jersey, 08861",2,ALL FINISHED,40HQ,2023-04-01
SM85342,35,GOLDEN HORSE TECHNOLOGY INTERNAT,30,EON,03/28,-,1,,1,Unknown,11,,2,ALL FINISHED,,2023-04-01
SM85488,13,DISCOVERY,13,DISCOVERY,03/28,2023-04-05,27,BRWI,10,APM,46,"900 daphine rd bay minette, al 36507",2,ALL FINISHED,1*40 HQ,2023-04-01
SM85488,13,DISCOVERY,13,DISCOVERY,03/28,2023-04-05,27,BRWI,10,APM,46,"900 daphine rd bay minette, al 36507",2,ALL FINISHED,1*40 HQ,2023-04-01
SM85526,36,COZY LIVING,31,RAINY,03/28,-,1,,1,Unknown,11,,2,ALL FINISHED,,2023-04-01
SM85536,37,RGFR,13,DISCOVERY,03/28,2023-04-05,9,CEI,40,LA PORT,47,sbd1,2,ALL FINISHED,1*40 HQ ,2023-04-01
SM85603,38,LEOM,32,48,03/28,2023-04-04,24,DRAGON,40,LA PORT,48,ont8,1,ALL FINISHED/CASE DONE,1*40 HQ /Legal weight,2023-04-01
SM85604,38,LEOM,32,48,03/28,2023-04-04,24,DRAGON,41,LA port,48,ont8,1,ALL FINISHED/CASE DONE,1*40HQ,2023-04-01
SM85717,18,SUNTON,18,EDAY,03/28,2023-04-04,19,BH,35,American President Line,25,"1375 w casmalia st, rialto, california, 92377",2,ALL FINISHED,40HQ,2023-04-01
SM85718,18,SUNTON,18,EDAY,03/28,2023-04-06,19,BH,35,American President Line,25,"1375 w casmalia st, rialto, california, 92377",2,ALL FINISHED,40HQ,2023-04-01
SM85719,18,SUNTON,18,EDAY,03/28,2023-04-04,9,CEI,35,American President Line,25,"1375 w casmalia st, rialto, california, 92377",2,ALL FINISHED,40HQ,2023-04-01
SM85755,19,KING SUPPLY,19,KING SUPPLY,03/28,2023-04-06,9,CEI,34,LBCT,49,"3187 cornerstone dr eastvale, ca 91752",2,ALL FINISHED,40HQ,2023-04-01
SM85757,39,XEPS,20,BLUEW,03/28,-,28,NOAH,42,Los Angeles-Evergreen Container Terminal,47,sbd1,2,ALL FINISHED,40HQ,2023-03-28
SM85761,34,FUZHOU EPS,20,BLUEW,03/28,-,9,CEI,42,Los Angeles-Evergreen Container Terminal,50,"bestway warehouse devan
343 n baldwin park blvd
bassett, ca 91746",2,ALL FINISHED,40HQ,2023-03-28
SM85764,40,EASTWEST ELECTRONIC COMMERCE CO US LIMITED,19,KING SUPPLY,03/28,2023-04-06,9,CEI,34,LBCT,49,"3187 cornerstone dr eastvale, ca 91752",2,ALL FINISHED,40HQ/12805KGS,2023-04-01
SM85787,34,FUZHOU EPS,20,BLUEW,03/28,2023-04-10,20,SLC,3,BNSF,51,"wayfair: castlegate warehouse lancaster 2820 n 35e lancaster, tx 75134",2,ALL FINISHED,40HQ,2023-04-01
SM85817,41,TTK GLOBAL EXPRESS SERVICE INC,5,TRWORLD,03/28,2023-04-03,9,CEI,13,EVERPORT,38,uswc,2,ALL FINISHED,40HQ/11286KGS,2023-04-01
SM85821,27,SENMART,5,TRWORLD,03/28,2023-04-04,9,CEI,13,EVERPORT,38,uswc,2,ALL FINISHED,40HQ/8429KGS,2023-04-01
SM85868,18,SUNTON,18,EDAY,03/28,2023-04-06,9,CEI,31,LBCT ,37,"1251 s rockefeller ave unit b ontario , ca 91761 usa",1,ALL FINISHED/CASE DONE,40HQ,2023-04-01
SM85884,11,TOP,11,SPEEDSHIP,03/28,2023-04-04,1,,1,Unknown,11,,2,ALL FINISHED,,2023-03-28
SM85901,29,ZHV,26,ZHV,03/28,2023-04-06,19,BH,34,LBCT,52,"12833 schabarum ave. irwindale,ca 91706",2,ALL FINISHED,40,2023-04-01
SM85923,42,WLDFITOUS LLC,19,KING SUPPLY,03/28,-,1,,1,Unknown,11,,1,ALL FINISHED/CASE DONE,,2023-03-28
SM85936,18,SUNTON,18,EDAY,03/28,2023-04-04,19,BH,43, FENIX MARINE SERVICE ,25,"1375 w casmalia st, rialto, california, 92377",2,ALL FINISHED,40HQ,2023-04-01
SM86105,12,AUTOMANN,12,AUTOMANN,03/28,2023-03-31,4,BOS,44, BNSF LOGISTICS PARK - CHICAGO,53,"automann
2301 w haven
new lenox il 60451",2,ALL FINISHED,20GP,2023-04-01
SM86105,12,AUTOMANN,12,AUTOMANN,03/28,2023-03-31,4,BOS,44, BNSF LOGISTICS PARK - CHICAGO,53,"automann
2301 w haven
new lenox il 60451",2,ALL FINISHED,20GP,2023-04-01
SM86105,12,AUTOMANN,12,AUTOMANN,03/28,2023-03-31,4,BOS,44, BNSF LOGISTICS PARK - CHICAGO,53,"automann
2301 w haven
new lenox il 60451",2,ALL FINISHED,20GP,2023-04-01
SM86116,12,AUTOMANN,12,AUTOMANN,03/28,2023-03-31,9,CEI,45,"Long Beach-Long Beach Container Terminal , LLC",54,"automann inc
3940 earlstone st suite b
ontario ca 91761",2,ALL FINISHED,40HQ,2023-04-01
SM86123,36,COZY LIVING,22,MANDY,03/28,-,12,TRAFFIX,46,MORRISON EXPRESS  4099 OLD DIXIE HWY BLND 2 STE 300  ATLANTA GA 30354 ,55,"wfm c/o hilldrup 
750 berry shoals rd.
duncan sc 29334",1,ALL FINISHED/CASE DONE,,2023-03-28
SM86178,43,FP,33,FP,03/28,-,3,BLUEW,47,"ORD. 1717 Busse Rd, Elk Grove Village, IL 60007",56,ups,2,ALL FINISHED,151PCS / 2563KGS,2023-05-01
SM86190,21,GZJF,21,GZJF,03/28,-,1,,1,Unknown,57,customer own pick up,2,ALL FINISHED,,2023-04-01
SM85101,1,"SHANGHAI YUANSHUN TRADE CO.,LTD",1,HONGKONG YINTATECH ,03/27,-,1,,1,Unknown,58,cds,1,ALL FINISHED/CASE DONE,,2023-03-27
SM85459,1,"SHANGHAI YUANSHUN TRADE CO.,LTD",1,HONGKONG YINTATECH ,03/27,-,1,,1,Unknown,1,amzddpreleaseupdates@cds-net.com,2,ALL FINISHED,,2023-03-27
SM85459,1,"SHANGHAI YUANSHUN TRADE CO.,LTD",1,HONGKONG YINTATECH ,03/27,-,1,,1,Unknown,1,amzddpreleaseupdates@cds-net.com,2,ALL FINISHED,,2023-03-27
SM85502,7,FEICO,7,FEICO,03/27,2023-04-05,19,BH,34,LBCT,59,"3800 north mission rd., los angeles, ca 90031",2,ALL FINISHED,40,2023-04-01
SM85549,25,XR,25,XR,03/27,,9,CEI,48,TTI,60,"601 s dupont ave, ontario, ca 91761",2,ALL FINISHED,40,2023-04-01
SM85640,6,K-KJING,6,K-KJING,03/27,-,1,,1,Unknown,11,,2,ALL FINISHED,,2023-03-27
SM85641,6,K-KJING,6,K-KJING,03/27,,24,DRAGON,7,ETS,48,ont8,2,ALL FINISHED,40,2023-04-01
SM85658,44,KA,34,KA,03/27,2023-04-02,4,BOS,49,CN RAIL,61,"11222 melrose ave.

franklin park,il 60131",2,ALL FINISHED,1*40 HQ,2023-04-01
SM85681,11,TOP,11,SPEEDSHIP,03/27,2023-04-04,1,,1,Unknown,11,,1,ALL FINISHED/CASE DONE,,2023-04-01
SM85693,21,GZJF,21,GZJF,03/27,2023-04-04,18,ONEW,50,SHIPPER TERMINAL,21,315 warehouse devan,2,ALL FINISHED,40',2023-04-01
SM85695,21,GZJF,21,GZJF,03/27,2023-04-04,18,ONEW,50,SHIPPER TERMINAL,21,315 warehouse devan,2,ALL FINISHED,40',2023-04-01
SM85954,44,KA,34,KA,03/27,-,4,BOS,51,CN RAIL - CHICAGO - HARVEY - (I092),62,"aramsco inc
11222 melrose ave.
franklin park,il 60131",2,ALL FINISHED,1*40 HQ,2023-03-27
SM85955,25,XR,25,XR,03/27,,9,CEI,36,TRAPAC,63,"4501 etiwanda ave?mira loma, ca 91752",2,ALL FINISHED,40HQ,2023-04-01
SM85961,45,NBYB,35,NBYB,03/27,2023-04-04,29,MJST,52,GARDEN CITY TML(L737),64,"330 huntington rd gaffney, sc 29341",2,ALL FINISHED,40HQ,2023-04-01
SM86033,21,GZJF,21,GZJF,03/27,-,1,,1,Unknown,65,do not need trucking,1,ALL FINISHED/CASE DONE,,2023-03-27
SM86073,12,AUTOMANN,12,AUTOMANN,03/27,,10,BSUI,53,NEW YORK ,12,"automann inc
251 docks corner rd
monroe twp nj 08831",2,ALL FINISHED,40HQ,2023-03-27
SM86082,36,COZY LIVING,22,MANDY,03/27,-,30,"Priority 1, Inc",54,LAX,66,"crown worldwide moving & storage

4550 wineville avenue, unit b

mira loma, ca 91752",2,ALL FINISHED,,2023-04-01
SM86130,46,U-RICH,36,U-RICH,03/27,-,31,W&T CARGO,55,"THE SET, 455 10TH AVE, APT 16D? NEW YORK, NY 10018, USA		",67,w&t cargo service 's warehouse,2,ALL FINISHED,3CTNS/32.5KGS/0.1CBM,2023-03-27
SM86154,21,GZJF,21,GZJF,03/27,,32,MTCI,56,"DEHE INTERNATIONAL 1051 S Rockefeller Ave, Ontario, CA 91761 DEHE?626-537-7303",68,"brian shutter address?118 n washington st, carthage, ny 13619  tel:16073021833",2,ALL FINISHED,2 PLT,2023-04-01
SM86155,21,GZJF,21,GZJF,03/27,,33,GLT,56,"DEHE INTERNATIONAL 1051 S Rockefeller Ave, Ontario, CA 91761 DEHE?626-537-7303",69,"lily liu address?2951 south valley pkwy, suite 200, dock#12-16,
lewisville, tx 75067 tel:415-794-2701",2,ALL FINISHED,8 PLTS,2023-04-01
SM86156,43,FP,33,FP,03/27,-,3,BLUEW,47,"ORD. 1717 Busse Rd, Elk Grove Village, IL 60007",56,ups,1,ALL FINISHED/CASE DONE,180PCS / 3081KGS,2023-04-01
SM86157,43,FP,33,FP,03/27,-,3,BLUEW,57,"ORD. 11301 IRVING PARK RD, FRANKLIN PARK, IL 60131",56,ups,2,ALL FINISHED,133PCS / 2263KGS,2023-05-01
SM86158,47,GOODCANGG,28,GOODCANGG,03/27,-,1,,1,Unknown,11,,2,ALL FINISHED,,2023-03-27
SM86159,14,AMASS,14,AMASS,03/27,-,34,GRTR,17,"CVG POLAR AIR CARGO. 1121 Aviation Blvd. Hebron, KY 41048",14,"2125 gateway blvd, hebron, ky 41048",1,ALL FINISHED/CASE DONE,105PCS / 1765KGS,2023-04-01
SM86161,4,ZCGC,4,ZCGC,03/27,-,35,PE Logistic,58,"1901 NW 66th Ave, Bldg 709, Miami, FL 33122",70,"ceva-ftz. 5601 nw 72 ave, dock doors 28-34, miami, fl 33166",1,ALL FINISHED/CASE DONE,6PLTS / 1978KGS,2023-04-01
SM85317,48,48,32,48,03/26,2023-04-04,7,AMG,59,oakland port ,7,sck4,2,ALL FINISHED,1*40 HQ,2023-04-01
SM85385,20,BLUEW,20,BLUEW,03/26,2023-03-30,7,AMG,60,"OAKLAND, CA (US)",6,smf3,2,ALL FINISHED,40HQ,2023-03-26
SM85444,49,GREEN RIVER INTL INC,37,JESSICA,03/26,-,1,,1,Unknown,11,,2,ALL FINISHED,,2023-03-26
SM85551,6,K-KJING,6,K-KJING,03/26,,9,CEI,34,LBCT,71,"c/o 2221 remington ave, ontario, california, 91762",2,ALL FINISHED,40,2023-04-01
SM85692,21,GZJF,21,GZJF,03/26,2023-03-30,18,ONEW,61,SHIPPER,21,315 warehouse devan,1,ALL FINISHED/CASE DONE,40',2023-04-01
SM86124,36,COZY LIVING,22,MANDY,03/26,-,30,"Priority 1, Inc",54,LAX,66,"crown worldwide moving & storage

4550 wineville avenue, unit b

mira loma, ca 91752",2,ALL FINISHED,,2023-04-01
SM85137,7,FEICO,7,FEICO,03/25,2023-04-04,29,MJST,62,SAVANNAH PORT,72,340 a sharon industrial way suwanee ga 30024,2,ALL FINISHED,40,2023-04-01
SM85142,29,ZHV,26,ZHV,03/25,,29,MJST,62,SAVANNAH PORT,73,"amazon xlx6
12220 carolina logistics dr, pineville, nc 28134",1,ALL FINISHED/CASE DONE,40,2023-04-01
SM85233,43,FP,33,FP,03/25,2023-03-30,15,UTC2,9,MAHER,74,"osu warehouse distribution center. 113 interstate blvd, jamesburg, nj 08831",2,ALL FINISHED,20'GP,2023-04-01
SM85269,24,PGS CBEL,24,PGS CBEL,03/25,2023-03-30,9,CEI,34,LBCT,75,"giga cloud ca4. 11599 arrow route, rancho cucamonga, ca 91730",2,ALL FINISHED,40'HQ,2023-04-01
SM85282,6,K-KJING,6,K-KJING,03/25,2023-03-30,7,AMG,63,ETS OAKALND,7,sck4,2,ALL FINISHED,40,2023-04-01
SM85352,28,SZOT,10,SZOT,03/25,2023-03-31,8,FLTI,64,NYCT,76,"5 cotters ln, east brunswick,nj 08816",2,ALL FINISHED,40HQ/11260KGS,2023-04-01
